"subj_code","desktop_conf","attent_conf","scale_orient","DV_rating","Scenario","explanation2","narrow_check","broad_check","age","gender","tech_issues","narrow_correct","broad_correct"
"tOqaJPnTWzd7","1: I confirm","1: I will take it seriously","narrow_left",0,"featherTooth_noInfo","50/50 chance without further information - either sight of the tooth or coming across them doing the actual activity - hunting/fishing. Choice of hunter was made on 50/50 plus Latin languages read from left to right and the choice of hunter was on the left.",4,3,62,"2: female",NA,"correct","correct"
"Vf6JUfoNKGpS","1: I confirm","1: I will take it seriously","narrow_left",0,"featherTooth_noInfo","Hunter",4,3,30,"1: male","N/A","correct","correct"
"Vihd2NajnJfY","1: I confirm","1: I will take it seriously","narrow_left",0,"featherTooth_noInfo","it will either be Hunter or a fisherman. The probability will be 1/2",4,3,30,"1: male",NA,"correct","correct"
"VQWqzkEAxjrd","1: I confirm","1: I will take it seriously","narrow_left",1,"featherTooth_noInfo","a spear fisherman",4,3,28,"1: male",NA,"correct","correct"
"WdBZ7y7pXuh0","1: I confirm","1: I will take it seriously","narrow_left",0,"featherTooth_noInfo","I would have written hunter.",4,3,22,"2: female",NA,"correct","correct"
"9lTGW8qBVXxF","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","Its a 50/50 chance on first sight, but i assume he is not showing teeth and his teeth are normal so more likelyl to be hunter",4,3,23,"1: male",NA,"correct","correct"
"Agdu56AibHQR","1: I confirm","1: I will take it seriously","narrow_right",0,"featherTooth_noInfo","Based on the information you provided, if a tribesman wears a colorful feathered headdress, it is more likely that they belong to the group of hunters or spear fisherman. However, without further information, it is impossible to determine with certainty which group they belong to, as both hunters and spear fisherman wear the same type of headdress. The only way to differentiate between the two groups is if the tribesman also has a golden molar tooth, which would indicate that they are a spear fisherman.",4,3,40,"1: male","no errors","correct","correct"
"BBoiF3rR2HbK","1: I confirm","1: I will take it seriously","narrow_right",0,"featherTooth_noInfo","The two options are equally likely as you have not been told about the person's teeth.  ",4,3,54,"1: male",NA,"correct","correct"
"BPk3siYWCoah","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","I would have said it would be 50/50, as unless the tribesman opened his mouth, or it stated he was carrying a spear, then you wouldn't know much as if he were to be a fisherman or not as both wear headdresses based on the info given.",4,3,26,"2: female","none.","correct","correct"
"DepMUs4oskT5","1: I confirm","1: I will take it seriously","narrow_right",0,"featherTooth_noInfo","Fisherman",4,3,34,"2: female","None","correct","correct"
"dJbiAMMBb7Z4","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","The tribesman was more likely a hunter.",4,3,31,"2: female",NA,"correct","correct"
"EDVLaN6ku7E9","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","I imagine I'm more likely to encounter a hunter given that the interaction is probably happening on land",4,3,23,"1: male",NA,"correct","correct"
"GaKoaiDyBoOp","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","Without being certain as to whether the individual is a hunter or fisherman, the immediate appearance of a feather head-dress would point towards the individual being a hunter and I would think so until I saw the golden molar.",4,3,22,"2: female",NA,"correct","correct"
"jHZid7NnYJWD","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","It would be impossible to say whether it was a hunter or fisherman by feathers alone.",4,3,57,"1: male","no problems","correct","correct"
"km4iV9Do4Fwg","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","that i believe it would have been a hunter as it feels like they would be easier to come across",4,3,25,"2: female",NA,"correct","correct"
"LwazUlW6BtP9","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","if i couldnt see his teeth my first instinct would be hunter",4,3,35,"2: female",NA,"correct","correct"
"mlaElrKt0qXd","1: I confirm","1: I will take it seriously","narrow_right",0,"featherTooth_noInfo","I chose that because it said ""You come across"" the person. It's very hard to come across a hunter, so I picked a Spear Fisherman. ",4,3,58,"2: female","None. ","correct","correct"
"MYMIXNtKxHFO","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","Hunter",4,3,28,"1: male","n/a","correct","correct"
"q2eDjaBtR9Gs","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","I think it may be more likely to be a hunter",4,3,35,"2: female",NA,"correct","correct"
"QeIr0qWa6ONK","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","Its impossible to tell.

They both wear headdresses ",4,3,29,"1: male","N/a","correct","correct"
"sq4RNMnijX87","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","Not enough information is given to make it more likely it was one rather than the other",4,3,30,"1: male",NA,"correct","correct"
"SWcVRfbYDORV","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","It's impossible to determine for definite without knowing the information about the golden molar",4,3,30,"1: male",NA,"correct","correct"
"UmNKW9iwuKe7","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","Hunter ",4,3,36,"2: female",NA,"correct","correct"
"WowmxqyxMTIN","1: I confirm","1: I will take it seriously","narrow_right",1,"featherTooth_noInfo","hunter",4,3,23,"2: female",NA,"correct","correct"
"zr07YVjCXK2k","1: I confirm","1: I will take it seriously","narrow_right",0,"featherTooth_noInfo","Fisherman",4,3,24,"2: female","n/a","correct","correct"
